price,volume
12657.2,126831.6
12505.76,133082.7
12446.88,162596.2
12491.61,139946.4
12437.12,140648.5
12479.73,215249
12385.16,148849.9
12587.42,167522.7
12571.91,138841.7
12724.41,185505.9
12681.16,136700.8
12592.8,128703.2
12501.3,145022.6
12302.55,182626.8
12240.11,148689.5
12143.24,230751.9
12132.49,181909.9
11866.62,207014.7
11896.44,198181.5
11383.68,300708.5
11444.61,405448.8
10809.85,479788.6
11239.77,431335.9
10719.94,395587.7
11143.31,393149.1
11269.02,227965.6
11482.9,187943.4
11405.93,187632.1
11410.21,171232.4
10990.58,308402.8
10817.65,336342.1
10854.65,226715.3
11176.76,244081.1
11320.71,227361.4
11149.82,254987.7
11284.54,244297.7
11539.25,177504.9
11559.95,181968.3
11613.53,229674.8
11493.57,178098.1
11240.26,174648.3
11240.26,196017.2
11139.3,217386.1
11414.86,166242.7
11295.81,172998.3
10992.13,227753.6
11061.12,197123.7
11105.85,189937.6
11246.73,192576
11433.18,172025.4
11509.09,425510.9
11401.01,157453
11408.66,157017.7
11124.84,221139.6
10733.83,306114.5
10771.48,223121.3
11043.86,225598.4
11190.69,212449.6
11010.9,172354.9
11153.98,191328.7
10913.38,212448.4
10655.3,242818
10808.71,266956.9
10939.95,225866.4
11123.33,189976.2
11103.12,187989.4
11433.18,144241.8
11416.3,133331.6
11518.85,188036.1
11478.13,143589.5
11644.49,129978
11397,140311.3
11577.05,197728.4
11504.62,169557.9
11541.78,164972.4
11808.79,263953.4
11913.62,161850
11706.62,161392.8
11869.04,183477.8
12208.55,251618.5
12231.11,163589
11955.01,185393.2
11657.96,218168.8
11836.04,154060.4
12044.47,158154.8
11983.24,125830.3
12068.39,122099.1
12170.18,144934.3
11780.94,179390.8
11893.79,165191
12153.68,134494.3
12078.98,119533.6
12096.16,144864.9
11905.59,166120.8
11770.73,167017.8
11796.16,181215.9
11547.31,170409.6
11493.72,148545.7
11257.55,152198.1
11257.55,117777.8
11231.78,83357.6
11523.01,204948.9
11555.63,156925.1
12045.68,286772.1
12020.03,143686.7
12019.42,150105.9
12097.83,153451
12150.13,145712.2
12196.37,168352.9
11997.7,165809.1
12184.26,154231.2
12021.39,149040.4
11954.94,171889.9
11823.48,161230
11868.81,136901.1
11866.39,381712.9
11766.26,135107.4
12103.58,162671.8
12107.74,163196.6
12169.65,151585.3
12294,80413.8
12294,88193.05
12291.35,95972.3
12151.41,83998.5
12287.04,84601.3
12217.56,96568.1
12217.56,124545.6
12397.38,152523.1
12418.42,145115.6
12415.7,158405.8
12359.92,131073.1
12392.69,122020.1
12462.47,141004.1
12449.45,130232.9
12471.02,128218.6
12422.06,161376.7
12422.06,154689.8
12482.07,148002.8
12578.95,154105.3
12623.98,146005.8
12720.48,255034.6
12708.82,149541.4
12675.75,125418.4
12756.96,135428.4
12734.63,130775.4
12660.46,164396.6
12653.72,130316.1
12632.91,168043.8
12716.46,143468.9
12705.41,114244.7
12862.23,142815.8
12845.13,107322.5
