price,volume
7735.46,110871
7702.23,133350
7748.86,71751
7696.21,143512
7707.54,123888
7748.13,129649
7857.97,120195
7833,88204
7848.57,114468
7811.31,129319
7776.05,171415
7833.39,128954
7638.23,197215
7664.66,179591
7581.18,152984
7590.85,144797
7652.14,123636
7633.74,103661
7660.19,118828
7711.89,97752
7631.19,113779
7593.51,185137
7628.73,91571
7752.45,131078
7728.9,135413
7583.57,156412
7661.91,148915
7773.19,182462
7597.11,171516
7675.83,117567
7741.7,126362
7708.16,131318
7691.68,83887
7870.31,137283
7919.33,124627
7939.77,98781
7986.47,134776
7984.29,82983
7966.12,175954
7970.91,368772
8058.37,280674
8042.85,311604
8010.7,130363
7947.79,154895
8001.97,122106
7932.51,159846
7911.35,131986
7870.9,157511
7879.67,115373
7789.09,146705
7795.31,128176
7795.31,64088
7795.31,90429
7943.87,116770
7874.75,103685
7817.39,144996
7658.75,144760
7662.64,85361
7637.51,120783
7810.63,158664
7871.63,126501
7744.77,121692
7712.63,118153
7682.58,139714
7503.03,161070
7473.73,140255
7459.96,178317
7478.11,153697
7658.21,184055
7759.03,117920
7832.86,92932
7814.76,94489
7873.5,79204
7913.71,119768
7913.71,131320
7961.71,142872
8122.29,134547
8112.08,66148
8181.78,89542
8249.71,121804
8262.55,57871
8278.59,95065
8279.29,85255
8339.11,114734
8362.42,152900
8369.87,125947
8398,158380
8455.83,78297
8472.2,113837
8530.89,110213
8351.98,132877
8305.32,131150
8383.3,48707
8480.87,97455
8336.58,107502
8400.2,103141
8348.84,122400
8285.8,97748
8295.96,69932
8196.18,72091
8098.81,69078
8254.68,82907
8307.69,62156
8222.46,76594
8143.27,63757
8095.39,77744
8127.96,56838
8215.73,55024
8229.51,56223
8197.08,78657
7928.48,131807
7789.24,245491
7692.45,121377
7811.3,109485
7940.99,128567
7990.75,102938
7959.22,101764
7983.92,96719
7910.77,96761
7829.32,115953
7994.31,119378
7806,116269
7968.54,100325
8057.75,82855
8066.48,55416
8158.8,81260
8212.77,87866
8234.81,67636
8201.05,68667
8254.72,71746
8337.09,79508
8331.57,119916
8331.06,73051
8314.23,80772
8379.11,88485
8298.98,96061
8244.91,75415
8259.03,67356
8271.02,135632
8275.97,113065
8410.73,97990
8406.94,73394
8398.38,62901
8299.73,122122
8260.48,78951
8318.32,145598
8338.31,89030
8359.25,82332
8415.76,95296
8438.12,80101
8376.29,72728
8391.94,85750
8366.29,59793
8300.03,84503
8285.41,65975
8397.89,80631
8416.99,67690
8435.15,42824
8242.56,106542
8157.9,97795
8194.55,69818
8103.15,86451
8243.87,66689
8180.71,88280
8195.92,84770
8234.98,96649
8275.67,124854
8276.32,76365
8446.54,125305
8495.73,106146
8494,102394
8509.42,76220
8613,87859
8596.95,81359
8636.06,75769
8694.18,120862
8675.73,249585
8635.29,89113
8664.6,79115
8665.63,108140
8664.1,88921
8661.51,68197
8594.4,78814
8689.14,83405
8629.42,76858
8597.91,49874
8622.97,85007
8591.58,87360
8555.89,77436
8516.69,78207
8685.77,105328
8724.83,92376
8723.81,64137
8804.44,93814
8846,92339
8811.98,95193
8865.1,166472
8867.22,74873
8947.46,100451
8919.86,79944
8980.63,76690
8985.74,71223
8978.65,61427
9022.04,76418
9010.27,69972
9033.92,82808
9007.83,54234
9037.23,60965
9009.11,87089
9040.87,68900
9081.03,143224
9078.28,86783
9107.86,66640
9076.48,96961
9054.83,92469
9149.66,108722
9168.69,96784
9225.43,88833
9193.29,77178
9202.07,68359
9196.08,78795
9219.04,72242
9299.95,69939
9290.07,85106
9351.13,59073
9387.37,54326
9405.3,65826
9401.96,74603
9223.4,116913
9140.63,94987
9084.95,77772
9172.41,81327
9195.17,62711
9114.44,74363
9077.11,64846
9017,75120
9006.46,67762
9163.56,99106
9085.12,72208
9181.75,82343
9335.74,98276
9400.18,161687
9488.82,48373
9488.82,24186.5
9488.82,12093.25
9488.82,31740.62
9589.39,51388
9552.16,35982
9552.16,17991
9552.16,54474
9400.04,90957
9435.15,58773
9428,53654
9506.2,79947
9497.84,90140
9421.61,98917
9473.24,96130
9510.17,85788
9540.51,104778
9733.81,120099
9717.71,87812
9742.96,131098
9715.9,78126
9730.12,80840
9720.11,84234
9631.04,98660
9392.02,125916
9349.22,112554
9406.91,99322
9336.73,126384
9373.48,82726
9306.48,126857
9186.52,105545
