price,volume
911.44,3865080
905.16,3301490
901.15,3917200
887.79,3378780
897.62,3271720
917.09,3336620
913.78,3072140
920.76,3474770
934.67,3126380
940.25,3748920
942.65,3690580
955.75,445344
939.7,4803040
968.82,4616840
969.18,514000
957.35,4231070
957.35,4175120
968.5,4119170
957.02,3812800
954.88,3663970
942.41,4514800
962.69,3127620
963.61,2687560
973.7,2822820
962.86,2727910
963.48,3304110
980.7,3365360
966.77,3904470
953.72,3119530
975.66,3291630
984.33,2912170
992.25,3118860
988.62,3079070
1003.22,2991290
1004.35,3190770
1020.5,4836770
1039.98,4587500
1035.9,4236510
1031.42,2997000
1038.17,2862050
1051.65,3886340
1028.34,3113000
1045.89,2839210
1045.89,3130460
1058.1,3421710
1038.57,2876700
1047.29,2696760
1044.42,2987420
1046.47,2483900
1036.78,2983190
1034.71,2595520
1000.57,2849660
991.34,3770540
1010.43,3166230
1037.76,4270930
1066.24,6449120
1101.74,4955270
1102.04,4700890
1121.04,5277490
1147.29,5148440
1148.57,4565440
1133.99,4230140
1119.2,4359670
1136.01,3802410
1122.97,4370210
1126.67,3585500
1145.6,4419250
1143.78,4348440
1164.35,4597300
1172.78,4359670
1161.19,3948710
1161.19,3676725
1165.13,3404740
1158.37,3067740
1153.28,2736750
1153.28,1368375
1153.28,2275448
1188.57,3182520
1194.34,3918280
1181.83,3822680
1210.6,4437960
1232.2,5300850
1230.8,4435420
1252.85,5752840
1245.23,5138230
1253.24,4405190
1269.51,4870230
1270.39,6251360
1276.03,6380670
1188.34,7655140
1194.08,5887630
1154.07,3979080
1168.27,4205070
1178.87,3910820
1134.42,4479630
1135.78,4154550
1096.95,4090440
1125.47,5124730
1090.03,4368330
1070.77,4374630
1056.95,4399730
1111.97,3251930
1101.15,3544890
1096.54,2993930
1044.17,3264580
1056.45,3768510
1084.72,2504300
1086.4,2434800
1106.57,2810460
1091.81,2857600
1099.4,3340700
1089.64,2293460
1078.66,2712810
1069.28,2487070
1098.83,2693710
1133.84,3190970
1150.7,2477560
1171.84,3020850
1173.81,2815980
1170.71,2400470
1188.58,2803040
1172.58,3264270
1196.89,2834760
1195.2,2782930
1194.77,2780230
1201.99,2684980
1201.99,2672120
1210.54,2659260
1213.24,3223820
1222.01,2676330
1211.98,3643050
1216.53,2472910
1222.72,2361550
1219.92,2118070
1202.32,2227070
1167.06,2714320
1128.45,2565460
1148.53,2579040
1131.7,2590350
1163.39,2609520
1196.17,2686540
1184.74,1996690
1193.66,2265480
1155.26,2422510
1139.59,2333380
1140.91,2214140
1134.62,1777440
1157.15,1876540
1171.34,2226730
1151.82,2042140
