price,volume
1472.05,470769
1470.68,480688
1472.34,470708
1472.63,485848
1480.94,591465
1485.98,920956
1485.98,739988
1492.56,559020
1494.81,479226
1494.82,543482
1502.96,559070
1500.18,502845
1507.84,562427
1501.96,541017
1498.11,712668
1513.17,576498
1495.71,566862
1511.29,576457
1512.12,543812
1509.39,534511
1517.93,459823
1517.01,382890
1519.43,469782
1520.33,495489
1521.38,524251
1519.79,802927
1519.79,680754.5
1530.94,558582
1511.95,583104
1502.42,588934
1515.6,505050
1487.85,627165
1496.94,569354
1515.99,479813
1514.68,735425
1518.2,522709
1525.2,490188
1539.79,499572
1541.46,490727
1544.26,489028
1551.18,479459
1556.22,437760
1552.48,457795
1554.52,409149
1563.23,494834
1560.7,1426617
1552.1,495349
1548.34,535005
1558.71,499141
1545.8,505315
1556.89,491219
1551.69,522845
1563.77,404453
1562.85,407533
1569.19,661078
1569.19,537326
1562.17,413574
1570.25,462829
1553.69,576828
1559.98,471727
1553.28,547925
1563.07,448688
1568.61,511134
1587.73,510781
1593.37,521191
1588.85,529328
1552.36,703753
1574.57,548572
1552.01,673253
1541.61,615946
1555.25,779256
1562.5,509229
1578.78,540531
1578.79,562507
1585.16,577887
1582.24,543973
1593.61,445706
1597.57,669424
1582.7,506555
1597.59,457002
1614.42,519254
1617.5,469344
1625.96,468629
1632.69,497363
1626.67,473996
1633.7,463329
1633.77,442421
1650.34,518094
1658.78,528246
1650.47,548320
1667.47,706870
1666.29,476358
1669.16,502430
1655.35,671305
1650.51,593566
1649.6,438657
1649.6,490289
1660.06,541921
1648.36,497996
1654.41,516664
1630.74,856567
1640.42,601528
1631.38,558108
1608.9,563821
1622.56,603290
1643.38,576780
1642.81,434288
1626.13,487200
1612.52,488081
1636.36,501745
1626.73,449350
1639.04,510038
1651.81,461272
1628.93,555541
1588.19,768032
1592.43,1507584
1573.09,670781
1588.03,591516
1603.26,559626
1613.2,510156
1606.28,1063673
1614.96,518229
1614.08,520740
1615.41,299429
1615.41,361053
1631.89,422677
1640.46,734963
1652.32,507487
1652.62,498099
1675.02,554747
1680.19,575988
1682.5,414407
1676.26,453247
1680.91,497826
1689.37,510857
1692.09,754883
1695.53,465020
1692.39,438286
1685.94,513599
1690.25,501448
1691.65,457342
1685.33,411188
1685.96,492159
1685.72,649043
1706.87,520234
1709.67,494195
1707.14,363477
1697.37,446352
1690.91,438513
1697.48,446999
1691.42,403394
1689.47,369592
1694.16,402378
1685.39,409585
1661.32,499350
1655.83,639131
1646.06,433606
1652.35,428046
1642.8,473475
1656.96,623231
1663.5,444289
1656.78,409042
1630.48,494832
1634.96,430462
1638.17,378212
1632.97,531583
1632.97,522771
1639.77,513959
1653.08,524195
1655.08,428637
1655.17,484449
1671.71,423765
1683.99,489085
1689.13,476873
1683.42,441994
1687.99,384106
1697.6,446946
1704.76,416785
1725.52,568125
1722.34,504375
